original_line,processed
"Aşk, ölümün dudaklarından öptüğü zaman","[{'input': 'Aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Adjective'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
cesedim sahile vurur,"[{'input': 'cesedim', 'root': 'ceset', 'type': 'Noun'}, {'input': 'cesedim', 'root': 'ceset', 'type': 'Noun'}, {'input': 'sahile', 'root': 'sahil', 'type': 'Noun'}, {'input': 'vurur', 'root': 'vurmak', 'type': 'Verb'}, {'input': 'vurur', 'root': 'vurmak', 'type': 'Verb'}]"
insanların kıskanarak topladığı cesedim...,"[{'input': 'insanların', 'root': 'insan', 'type': 'Noun'}, {'input': 'insanların', 'root': 'insan', 'type': 'Noun'}, {'input': 'insanların', 'root': 'insan', 'type': 'Adjective'}, {'input': 'insanların', 'root': 'insan', 'type': 'Adjective'}, {'input': 'kıskanarak', 'root': 'kıskanmak', 'type': 'Verb'}, {'input': 'topladığı', 'root': 'toplamak', 'type': 'Verb'}, {'input': 'topladığı', 'root': 'toplamak', 'type': 'Verb'}, {'input': 'topladığı', 'root': 'toplamak', 'type': 'Verb'}, {'input': 'cesedim', 'root': 'ceset', 'type': 'Noun'}, {'input': 'cesedim', 'root': 'ceset', 'type': 'Noun'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
"Aşk, ölümün dudaklarından öptüğü zaman","[{'input': 'Aşk', 'root': 'aşk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölüm', 'type': 'Noun'}, {'input': 'ölümün', 'root': 'ölü', 'type': 'Adjective'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'dudaklarından', 'root': 'dudak', 'type': 'Noun'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'öptüğü', 'root': 'öpmek', 'type': 'Verb'}, {'input': 'zaman', 'root': 'zaman', 'type': 'Noun'}]"
kelimelerin hatırasını sokaklara fırlatırım...,"[{'input': 'kelimelerin', 'root': 'kelime', 'type': 'Noun'}, {'input': 'kelimelerin', 'root': 'kelime', 'type': 'Noun'}, {'input': 'hatırasını', 'root': 'hatıra', 'type': 'Noun'}, {'input': 'hatırasını', 'root': 'Hatıra', 'type': 'Noun'}, {'input': 'sokaklara', 'root': 'sokak', 'type': 'Noun'}, {'input': 'sokaklara', 'root': 'Sokak', 'type': 'Noun'}, {'input': 'fırlatırım', 'root': 'fırlamak', 'type': 'Verb'}, {'input': '...', 'root': '...', 'type': 'Punctuation'}]"
beyaz gül narindir narin,"[{'input': 'beyaz', 'root': 'beyaz', 'type': 'Adjective'}, {'input': 'beyaz', 'root': 'beyaz', 'type': 'Noun'}, {'input': 'gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'narindir', 'root': 'narin', 'type': 'Adjective'}, {'input': 'narindir', 'root': 'Narin', 'type': 'Noun'}, {'input': 'narin', 'root': 'narin', 'type': 'Adjective'}, {'input': 'narin', 'root': 'Narin', 'type': 'Noun'}]"
Elleri O’nun,"[{'input': 'Elleri', 'root': 'el', 'type': 'Noun'}, {'input': 'Elleri', 'root': 'el', 'type': 'Noun'}, {'input': 'Elleri', 'root': 'el', 'type': 'Noun'}, {'input': 'Elleri', 'root': 'el', 'type': 'Noun'}, {'input': 'O', 'root': 'o', 'type': 'Determiner'}, {'input': 'O', 'root': 'o', 'type': 'Interjection'}, {'input': 'O', 'root': 'o', 'type': 'Adjective'}, {'input': 'O', 'root': 'o', 'type': 'Pronoun'}, {'input': 'O', 'root': 'o', 'type': 'Pronoun'}]"
zamanın solgun haresinden solgun,"[{'input': 'zamanın', 'root': 'zaman', 'type': 'Noun'}, {'input': 'zamanın', 'root': 'zaman', 'type': 'Noun'}, {'input': 'solgun', 'root': 'solgun', 'type': 'Adjective'}, {'input': 'haresinden', 'root': 'Hare', 'type': 'Noun'}, {'input': 'haresinden', 'root': 'hare', 'type': 'Noun'}, {'input': 'solgun', 'root': 'solgun', 'type': 'Adjective'}]"
ruhu var O’nun.,"[{'input': 'ruhu', 'root': 'ruh', 'type': 'Noun'}, {'input': 'ruhu', 'root': 'ruh', 'type': 'Noun'}, {'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'O', 'root': 'o', 'type': 'Determiner'}, {'input': 'O', 'root': 'o', 'type': 'Interjection'}, {'input': 'O', 'root': 'o', 'type': 'Adjective'}, {'input': 'O', 'root': 'o', 'type': 'Pronoun'}, {'input': 'O', 'root': 'o', 'type': 'Pronoun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
Gül narini alımı - güçsüz gene,"[{'input': 'Gül', 'root': 'gülmek', 'type': 'Verb'}, {'input': 'Gül', 'root': 'gül', 'type': 'Noun'}, {'input': 'narini', 'root': 'Narin', 'type': 'Noun'}, {'input': 'narini', 'root': 'Narin', 'type': 'Noun'}, {'input': 'narini', 'root': 'narin', 'type': 'Adjective'}, {'input': 'narini', 'root': 'narin', 'type': 'Adjective'}, {'input': 'alımı', 'root': 'Al', 'type': 'Noun'}, {'input': 'alımı', 'root': 'al', 'type': 'Noun'}, {'input': 'alımı', 'root': 'alım', 'type': 'Noun'}, {'input': 'alımı', 'root': 'alım', 'type': 'Noun'}, {'input': 'alımı', 'root': 'al', 'type': 'Adjective'}, {'input': '-', 'root': '-', 'type': 'Punctuation'}, {'input': 'güçsüz', 'root': 'Güç', 'type': 'Noun'}, {'input': 'güçsüz', 'root': 'güç', 'type': 'Noun'}, {'input': 'güçsüz', 'root': 'güç', 'type': 'Adjective'}, {'input': 'gene', 'root': 'gene', 'type': 'Adverb'}, {'input': 'gene', 'root': 'ge', 'type': 'Noun'}, {'input': 'gene', 'root': 'gen', 'type': 'Noun'}, {'input': 'gene', 'root': 'gen', 'type': 'Adjective'}]"
