original_line,processed
Uzaktan söyleşen uzun yankılar,"[{'input': 'Uzaktan', 'root': 'uzaktan', 'type': 'Adverb'}, {'input': 'Uzaktan', 'root': 'Uzak', 'type': 'Noun'}, {'input': 'Uzaktan', 'root': 'uzak', 'type': 'Noun'}, {'input': 'Uzaktan', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'söyleşen', 'root': 'söyleşmek', 'type': 'Verb'}, {'input': 'uzun', 'root': 'uzun', 'type': 'Adjective'}, {'input': 'uzun', 'root': 'uzun', 'type': 'Adverb'}, {'input': 'uzun', 'root': 'Uz', 'type': 'Noun'}, {'input': 'uzun', 'root': 'Uz', 'type': 'Noun'}, {'input': 'uzun', 'root': 'uz', 'type': 'Adjective'}, {'input': 'uzun', 'root': 'uz', 'type': 'Adjective'}, {'input': 'yankılar', 'root': 'yankılamak', 'type': 'Verb'}, {'input': 'yankılar', 'root': 'yankılamak', 'type': 'Verb'}, {'input': 'yankılar', 'root': 'yankı', 'type': 'Noun'}, {'input': 'yankılar', 'root': 'Yankı', 'type': 'Noun'}, {'input': 'yankılar', 'root': 'yankı', 'type': 'Noun'}, {'input': 'yankılar', 'root': 'Yankı', 'type': 'Noun'}]"
"Renkler, sesler, kokular karışır birbirine","[{'input': 'Renkler', 'root': 'renklemek', 'type': 'Verb'}, {'input': 'Renkler', 'root': 'renklemek', 'type': 'Verb'}, {'input': 'Renkler', 'root': 'renk', 'type': 'Noun'}, {'input': 'Renkler', 'root': 'renk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'sesler', 'root': 'seslemek', 'type': 'Verb'}, {'input': 'sesler', 'root': 'seslemek', 'type': 'Verb'}, {'input': 'sesler', 'root': 'ses', 'type': 'Noun'}, {'input': 'sesler', 'root': 'ses', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'kokular', 'root': 'kok', 'type': 'Noun'}, {'input': 'kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'karışır', 'root': 'karışmak', 'type': 'Verb'}, {'input': 'karışır', 'root': 'karışmak', 'type': 'Verb'}, {'input': 'birbirine', 'root': 'birbiri', 'type': 'Pronoun'}]"
Kokular vardır çocuk tenlerinden taze,"[{'input': 'Kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'Kokular', 'root': 'kok', 'type': 'Noun'}, {'input': 'Kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'vardır', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardır', 'root': 'var', 'type': 'Adjective'}, {'input': 'vardır', 'root': 'var', 'type': 'Noun'}, {'input': 'çocuk', 'root': 'çocuk', 'type': 'Adjective'}, {'input': 'çocuk', 'root': 'Çocuk', 'type': 'Noun'}, {'input': 'çocuk', 'root': 'çocuk', 'type': 'Noun'}, {'input': 'tenlerinden', 'root': 'ten', 'type': 'Noun'}, {'input': 'tenlerinden', 'root': 'ten', 'type': 'Noun'}, {'input': 'tenlerinden', 'root': 'ten', 'type': 'Noun'}, {'input': 'tenlerinden', 'root': 'ten', 'type': 'Noun'}, {'input': 'taze', 'root': 'taze', 'type': 'Adjective'}, {'input': 'taze', 'root': 'taze', 'type': 'Noun'}, {'input': 'taze', 'root': 'Taze', 'type': 'Noun'}]"
"Obua sesinden tatlı, çayır yeşil","[{'input': 'Obua', 'root': 'obua', 'type': 'Noun'}, {'input': 'sesinden', 'root': 'se', 'type': 'Noun'}, {'input': 'sesinden', 'root': 'ses', 'type': 'Noun'}, {'input': 'sesinden', 'root': 'ses', 'type': 'Noun'}, {'input': 'tatlı', 'root': 'tatlı', 'type': 'Adjective'}, {'input': 'tatlı', 'root': 'tatlı', 'type': 'Adverb'}, {'input': 'tatlı', 'root': 'tatlı', 'type': 'Noun'}, {'input': 'tatlı', 'root': 'Tat', 'type': 'Noun'}, {'input': 'tatlı', 'root': 'tat', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'çayır', 'root': 'çayır', 'type': 'Noun'}, {'input': 'yeşil', 'root': 'yeşil', 'type': 'Adjective'}, {'input': 'yeşil', 'root': 'yeşil', 'type': 'Noun'}]"
"Kokular vardır azgın, zengin, gürül gürül","[{'input': 'Kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'Kokular', 'root': 'kok', 'type': 'Noun'}, {'input': 'Kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'vardır', 'root': 'varmak', 'type': 'Verb'}, {'input': 'vardır', 'root': 'var', 'type': 'Adjective'}, {'input': 'vardır', 'root': 'var', 'type': 'Noun'}, {'input': 'azgın', 'root': 'azgın', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'zengin', 'root': 'zengin', 'type': 'Adjective'}, {'input': 'zengin', 'root': 'Zeng', 'type': 'Noun'}, {'input': 'zengin', 'root': 'Zeng', 'type': 'Noun'}, {'input': 'zengin', 'root': 'Zengi', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'gürül', 'root': 'gürül', 'type': 'Duplicator'}, {'input': 'gürül', 'root': 'gürül', 'type': 'Duplicator'}]"
İnsana sonsuz şeylerin tadını veren,"[{'input': 'İnsana', 'root': 'İnsa', 'type': 'Noun'}, {'input': 'İnsana', 'root': 'insan', 'type': 'Noun'}, {'input': 'İnsana', 'root': 'insan', 'type': 'Adjective'}, {'input': 'sonsuz', 'root': 'sonsuz', 'type': 'Adjective'}, {'input': 'sonsuz', 'root': 'sonsuz', 'type': 'Noun'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Noun'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Numeral'}, {'input': 'sonsuz', 'root': 'son', 'type': 'Adjective'}, {'input': 'sonsuz', 'root': 'Sons', 'type': 'Noun'}, {'input': 'şeylerin', 'root': 'şey', 'type': 'Noun'}, {'input': 'şeylerin', 'root': 'şey', 'type': 'Noun'}, {'input': 'tadını', 'root': 'tat', 'type': 'Noun'}, {'input': 'tadını', 'root': 'tat', 'type': 'Noun'}, {'input': 'veren', 'root': 'vermek', 'type': 'Verb'}, {'input': 'veren', 'root': 'vere', 'type': 'Noun'}]"
"Misk, amber, aselbent, buhur kokular","[{'input': 'Misk', 'root': 'misk', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'amber', 'root': 'Amber', 'type': 'Noun'}, {'input': 'amber', 'root': 'amber', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'aselbent', 'root': 'aselbent', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'buhur', 'root': 'buhur', 'type': 'Noun'}, {'input': 'kokular', 'root': 'koku', 'type': 'Noun'}, {'input': 'kokular', 'root': 'kok', 'type': 'Noun'}, {'input': 'kokular', 'root': 'koku', 'type': 'Noun'}]"
"Duyuları, düşünceyi alıp götüren","[{'input': 'Duyuları', 'root': 'duyu', 'type': 'Noun'}, {'input': 'Duyuları', 'root': 'duyu', 'type': 'Noun'}, {'input': 'Duyuları', 'root': 'duyu', 'type': 'Noun'}, {'input': 'Duyuları', 'root': 'duyu', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'düşünceyi', 'root': 'düşünce', 'type': 'Noun'}, {'input': 'alıp', 'root': 'almak', 'type': 'Verb'}, {'input': 'götüren', 'root': 'götürmek', 'type': 'Verb'}]"
Çeviri: Sabahattin Eyuboğlu,"[{'input': 'Çeviri', 'root': 'çeviri', 'type': 'Noun'}, {'input': ':', 'root': ':', 'type': 'Punctuation'}, {'input': 'Sabahattin', 'root': 'Sabahattin', 'type': 'Noun'}, {'input': 'Eyuboğlu', 'root': 'Eyuboğlu', 'type': 'Noun'}]"
var olanın ağır ağır yokluğu,"[{'input': 'var', 'root': 'var', 'type': 'Adjective'}, {'input': 'var', 'root': 'varmak', 'type': 'Verb'}, {'input': 'var', 'root': 'var', 'type': 'Noun'}, {'input': 'olanın', 'root': 'o', 'type': 'Adjective'}, {'input': 'olanın', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olanın', 'root': 'olmak', 'type': 'Verb'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Adjective'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Adverb'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Noun'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Adjective'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Adverb'}, {'input': 'ağır', 'root': 'ağır', 'type': 'Noun'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Adjective'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Noun'}, {'input': 'yokluğu', 'root': 'yok', 'type': 'Noun'}]"
