original_line,processed
Men fakîrem ganî vergil zekât-ı hüsn kim,"[{'input': 'Men', 'root': 'men', 'type': 'Noun'}, {'input': 'ganî', 'root': 'gani', 'type': 'Adjective'}, {'input': 'ganî', 'root': 'Gani', 'type': 'Noun'}, {'input': 'kim', 'root': 'kim', 'type': 'Conjunction'}, {'input': 'kim', 'root': 'kim', 'type': 'Pronoun'}]"
Şer' içinde manadur sana vâcib zekât,"[{'input': 'Şer', 'root': 'şer', 'type': 'Adjective'}, {'input': 'Şer', 'root': 'şer', 'type': 'Noun'}, {'input': 'içinde', 'root': 'içinde', 'type': 'Adverb'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Noun'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'içinde', 'root': 'iç', 'type': 'Adjective'}, {'input': 'sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'sana', 'root': 'san', 'type': 'Noun'}, {'input': 'sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'vâcib', 'root': 'Vacib', 'type': 'Noun'}, {'input': 'zekât', 'root': 'zekât', 'type': 'Noun'}]"
Görmeyince ışkunı îmâna gelmez âşıkun,"[{'input': 'Görmeyince', 'root': 'görmek', 'type': 'Verb'}, {'input': 'îmâna', 'root': 'ima', 'type': 'Noun'}, {'input': 'îmâna', 'root': 'iman', 'type': 'Noun'}, {'input': 'gelmez', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelmez', 'root': 'gelmek', 'type': 'Verb'}]"
Yüz peygamber cem' olub gösterseler min mu'cizât,"[{'input': 'Yüz', 'root': 'yüz', 'type': 'Numeral'}, {'input': 'Yüz', 'root': 'yüzmek', 'type': 'Verb'}, {'input': 'Yüz', 'root': 'yüz', 'type': 'Noun'}, {'input': 'peygamber', 'root': 'Peygamber', 'type': 'Noun'}, {'input': 'peygamber', 'root': 'peygamber', 'type': 'Noun'}, {'input': 'cem', 'root': 'cem', 'type': 'Noun'}, {'input': 'gösterseler', 'root': 'göstermek', 'type': 'Verb'}, {'input': 'min', 'root': 'mi', 'type': 'Noun'}]"
Mazhar-ı âsâr kudretdür vücûd-ı kâmilün,"[{'input': 'âsâr', 'root': 'asmak', 'type': 'Verb'}, {'input': 'âsâr', 'root': 'asmak', 'type': 'Verb'}, {'input': 'âsâr', 'root': 'asar', 'type': 'Noun'}]"
Feyz-i fıtratdan garaz sensen tufeylün kâ'inât,"[{'input': 'garaz', 'root': 'garaz', 'type': 'Noun'}, {'input': 'sensen', 'root': 'sensen', 'type': 'Noun'}, {'input': 'sensen', 'root': 'sen', 'type': 'Pronoun'}]"
Cevher-i zâtundadur mecmu-ı evsâf-ı kemâl,"[{'input': 'kemâl', 'root': 'Kemal', 'type': 'Noun'}, {'input': 'kemâl', 'root': 'kemal', 'type': 'Noun'}]"
sıfât sensen kandadur pâk zât,"[{'input': 'sıfât', 'root': 'sıfat', 'type': 'Noun'}, {'input': 'sensen', 'root': 'sensen', 'type': 'Noun'}, {'input': 'sensen', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'pâk', 'root': 'pak', 'type': 'Adjective'}, {'input': 'zât', 'root': 'zat', 'type': 'Noun'}]"
Işka tâ düşdün Fuzûlî çekmedün dünya gamın,"[{'input': 'tâ', 'root': 'ta', 'type': 'Adverb'}, {'input': 'tâ', 'root': 'Ta', 'type': 'Noun'}, {'input': 'Fuzûlî', 'root': 'fuzulî', 'type': 'Noun'}, {'input': 'Fuzûlî', 'root': 'Fuzuli', 'type': 'Noun'}, {'input': 'dünya', 'root': 'Dünya', 'type': 'Noun'}, {'input': 'dünya', 'root': 'dünya', 'type': 'Noun'}, {'input': 'gamın', 'root': 'gam', 'type': 'Noun'}, {'input': 'gamın', 'root': 'gam', 'type': 'Noun'}]"
Bil kayd-ı ışk imiş dâm-ı ta'allûkdan necât,"[{'input': 'Bil', 'root': 'bilmek', 'type': 'Verb'}, {'input': 'imiş', 'root': 'imek', 'type': 'Verb'}, {'input': 'necât', 'root': 'Necat', 'type': 'Noun'}, {'input': 'necât', 'root': 'necat', 'type': 'Noun'}]"
