original_line,processed
"Sana sağlam geldim, eyledin hasta,","[{'input': 'Sana', 'root': 'sanmak', 'type': 'Verb'}, {'input': 'Sana', 'root': 'san', 'type': 'Noun'}, {'input': 'Sana', 'root': 'sen', 'type': 'Pronoun'}, {'input': 'Sana', 'root': 'Sana', 'type': 'Noun'}, {'input': 'sağlam', 'root': 'sağlam', 'type': 'Adjective'}, {'input': 'sağlam', 'root': 'sağlam', 'type': 'Adverb'}, {'input': 'geldim', 'root': 'gelmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'eyledin', 'root': 'eylemek', 'type': 'Verb'}, {'input': 'hasta', 'root': 'hasta', 'type': 'Adjective'}, {'input': 'hasta', 'root': 'has', 'type': 'Noun'}, {'input': 'hasta', 'root': 'Hast', 'type': 'Noun'}, {'input': 'hasta', 'root': 'has', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Zıkkım olsun paran, pulun Almanya.","[{'input': 'Zıkkım', 'root': 'zıkkım', 'type': 'Noun'}, {'input': 'olsun', 'root': 'olmak', 'type': 'Verb'}, {'input': 'paran', 'root': 'para', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'pulun', 'root': 'pul', 'type': 'Noun'}, {'input': 'pulun', 'root': 'pul', 'type': 'Noun'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
"El sıraya katışamadım,","[{'input': 'El', 'root': 'el', 'type': 'Noun'}, {'input': 'sıraya', 'root': 'sıra', 'type': 'Noun'}, {'input': 'katışamadım', 'root': 'katışmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Evlat oldum elden tutuşamadım,","[{'input': 'Evlat', 'root': 'evlât', 'type': 'Noun'}, {'input': 'oldum', 'root': 'olmak', 'type': 'Verb'}, {'input': 'elden', 'root': 'elden', 'type': 'Adverb'}, {'input': 'elden', 'root': 'el', 'type': 'Noun'}, {'input': 'elden', 'root': 'elde', 'type': 'Noun'}, {'input': 'tutuşamadım', 'root': 'tutuşmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Anam, babam öldü yetişemedim,","[{'input': 'Anam', 'root': 'ana', 'type': 'Noun'}, {'input': 'Anam', 'root': 'ana', 'type': 'Adjective'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'babam', 'root': 'baba', 'type': 'Noun'}, {'input': 'babam', 'root': 'baba', 'type': 'Adjective'}, {'input': 'öldü', 'root': 'ölmek', 'type': 'Verb'}, {'input': 'yetişemedim', 'root': 'yetişmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Köyüme uzak yolun Almanya,"[{'input': 'Köyüme', 'root': 'köy', 'type': 'Noun'}, {'input': 'uzak', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'uzak', 'root': 'Uzak', 'type': 'Noun'}, {'input': 'uzak', 'root': 'uzak', 'type': 'Noun'}, {'input': 'yolun', 'root': 'yolmak', 'type': 'Verb'}, {'input': 'yolun', 'root': 'yolunmak', 'type': 'Verb'}, {'input': 'yolun', 'root': 'yol', 'type': 'Noun'}, {'input': 'yolun', 'root': 'yol', 'type': 'Noun'}, {'input': 'yolun', 'root': 'yolmak', 'type': 'Verb'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}]"
"murat almışım, alırım,","[{'input': 'murat', 'root': 'murat', 'type': 'Noun'}, {'input': 'murat', 'root': 'Murat', 'type': 'Noun'}, {'input': 'almışım', 'root': 'almak', 'type': 'Verb'}, {'input': 'almışım', 'root': 'al', 'type': 'Adjective'}, {'input': 'almışım', 'root': 'almak', 'type': 'Verb'}, {'input': 'almışım', 'root': 'Al', 'type': 'Noun'}, {'input': 'almışım', 'root': 'al', 'type': 'Noun'}, {'input': 'almışım', 'root': 'almak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'alırım', 'root': 'almak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Daha vatana hasret kalırım,","[{'input': 'Daha', 'root': 'daha', 'type': 'Adverb'}, {'input': 'Daha', 'root': 'daha', 'type': 'Noun'}, {'input': 'vatana', 'root': 'vatan', 'type': 'Noun'}, {'input': 'hasret', 'root': 'hasretmek', 'type': 'Verb'}, {'input': 'hasret', 'root': 'hasret', 'type': 'Noun'}, {'input': 'hasret', 'root': 'Hasret', 'type': 'Noun'}, {'input': 'kalırım', 'root': 'kalmak', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
"Vâde dolar köşende ölürüm,","[{'input': 'Vâde', 'root': 'vade', 'type': 'Noun'}, {'input': 'dolar', 'root': 'dolmak', 'type': 'Verb'}, {'input': 'dolar', 'root': 'dolmak', 'type': 'Verb'}, {'input': 'dolar', 'root': 'dolamak', 'type': 'Verb'}, {'input': 'dolar', 'root': 'dolamak', 'type': 'Verb'}, {'input': 'dolar', 'root': 'do', 'type': 'Noun'}, {'input': 'dolar', 'root': 'dolar', 'type': 'Noun'}, {'input': 'dolar', 'root': 'do', 'type': 'Noun'}, {'input': 'köşende', 'root': 'köşe', 'type': 'Noun'}, {'input': 'ölürüm', 'root': 'ölmek', 'type': 'Verb'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}]"
Ârif'i götürür salın Almanya.,"[{'input': 'Ârif'i', 'root': 'Ârif'i', 'type': 'Noun'}, {'input': 'Ârif'i', 'root': 'Ârif'i', 'type': 'Noun'}, {'input': 'götürür', 'root': 'götürmek', 'type': 'Verb'}, {'input': 'götürür', 'root': 'götürmek', 'type': 'Verb'}, {'input': 'salın', 'root': 'salmak', 'type': 'Verb'}, {'input': 'salın', 'root': 'salınmak', 'type': 'Verb'}, {'input': 'salın', 'root': 'sal', 'type': 'Noun'}, {'input': 'salın', 'root': 'sal', 'type': 'Noun'}, {'input': 'salın', 'root': 'salı', 'type': 'Noun'}, {'input': 'salın', 'root': 'salmak', 'type': 'Verb'}, {'input': 'Almanya', 'root': 'Almanya', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
