original_line,processed
ıhlamur ağaçlarına,"[{'input': 'ıhlamur', 'root': 'ıhlamur', 'type': 'Noun'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Noun'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Adjective'}, {'input': 'ağaçlarına', 'root': 'ağaç', 'type': 'Adjective'}]"
kazıdığım,"[{'input': 'kazıdığım', 'root': 'kazımak', 'type': 'Verb'}, {'input': 'kazıdığım', 'root': 'kazımak', 'type': 'Verb'}]"
şey,"[{'input': 'şey', 'root': 'şey', 'type': 'Noun'}]"
hoşça kal uzaklarda yanan,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': 'uzaklarda', 'root': 'Uzak', 'type': 'Noun'}, {'input': 'uzaklarda', 'root': 'uzak', 'type': 'Noun'}, {'input': 'uzaklarda', 'root': 'uzak', 'type': 'Adjective'}, {'input': 'yanan', 'root': 'yanmak', 'type': 'Verb'}]"
anızların parıltısı hoşça kal.,"[{'input': 'anızların', 'root': 'anız', 'type': 'Noun'}, {'input': 'anızların', 'root': 'anız', 'type': 'Noun'}, {'input': 'parıltısı', 'root': 'parıltı', 'type': 'Noun'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
2.,"[{'input': '2.', 'root': '2.', 'type': 'Numeral'}, {'input': '2.', 'root': '2.', 'type': 'Numeral'}]"
gün gelecek gün,"[{'input': 'gün', 'root': 'gün', 'type': 'Noun'}, {'input': 'gelecek', 'root': 'gelecek', 'type': 'Adjective'}, {'input': 'gelecek', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelecek', 'root': 'gelmek', 'type': 'Verb'}, {'input': 'gelecek', 'root': 'gelecek', 'type': 'Noun'}, {'input': 'gün', 'root': 'gün', 'type': 'Noun'}]"
anı olacak nasılsa,"[{'input': 'anı', 'root': 'an', 'type': 'Noun'}, {'input': 'anı', 'root': 'an', 'type': 'Noun'}, {'input': 'anı', 'root': 'Anı', 'type': 'Noun'}, {'input': 'anı', 'root': 'anı', 'type': 'Noun'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'olacak', 'root': 'olmak', 'type': 'Verb'}, {'input': 'nasılsa', 'root': 'nasılsa', 'type': 'Adverb'}, {'input': 'nasılsa', 'root': 'nasıl', 'type': 'Adjective'}]"
oturduğumuz masa,"[{'input': 'oturduğumuz', 'root': 'oturmak', 'type': 'Verb'}, {'input': 'oturduğumuz', 'root': 'oturmak', 'type': 'Verb'}, {'input': 'masa', 'root': 'masa', 'type': 'Noun'}]"
"kum saati, rüzgar, eski","[{'input': 'kum', 'root': 'kum', 'type': 'Noun'}, {'input': 'saati', 'root': 'saat', 'type': 'Noun'}, {'input': 'saati', 'root': 'saat', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'rüzgar', 'root': 'rüzgâr', 'type': 'Noun'}, {'input': 'rüzgar', 'root': 'Rüzgâr', 'type': 'Noun'}, {'input': ',', 'root': ',', 'type': 'Punctuation'}, {'input': 'eski', 'root': 'eski', 'type': 'Adjective'}, {'input': 'eski', 'root': 'eskimek', 'type': 'Verb'}, {'input': 'eski', 'root': 'eski', 'type': 'Noun'}]"
komodin,"[{'input': 'komodin', 'root': 'komodin', 'type': 'Noun'}]"
kırık,"[{'input': 'kırık', 'root': 'kırık', 'type': 'Adjective'}, {'input': 'kırık', 'root': 'kırık', 'type': 'Noun'}]"
sandalye,"[{'input': 'sandalye', 'root': 'sandalye', 'type': 'Noun'}]"
kelepir yürek,"[{'input': 'kelepir', 'root': 'kelepir', 'type': 'Noun'}, {'input': 'yürek', 'root': 'Yürek', 'type': 'Noun'}, {'input': 'yürek', 'root': 'yürek', 'type': 'Noun'}]"
aşk,"[{'input': 'aşk', 'root': 'aşk', 'type': 'Noun'}]"
nasılsa.,"[{'input': 'nasılsa', 'root': 'nasılsa', 'type': 'Adverb'}, {'input': 'nasılsa', 'root': 'nasıl', 'type': 'Adjective'}, {'input': '.', 'root': '.', 'type': 'Punctuation'}]"
3.,"[{'input': '3.', 'root': '3.', 'type': 'Numeral'}, {'input': '3.', 'root': '3.', 'type': 'Numeral'}]"
hoşça kal ayak izim,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}, {'input': 'ayak', 'root': 'ayak', 'type': 'Noun'}, {'input': 'izim', 'root': 'iz', 'type': 'Noun'}, {'input': 'izim', 'root': 'iz', 'type': 'Noun'}]"
serseri sokaklarda,"[{'input': 'serseri', 'root': 'serseri', 'type': 'Adjective'}, {'input': 'sokaklarda', 'root': 'sokak', 'type': 'Noun'}, {'input': 'sokaklarda', 'root': 'Sokak', 'type': 'Noun'}]"
hoşça kal,"[{'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'hoşça', 'root': 'hoş', 'type': 'Adjective'}, {'input': 'kal', 'root': 'kalmak', 'type': 'Verb'}, {'input': 'kal', 'root': 'kal', 'type': 'Noun'}]"
